,store,sido,gungu,store_address
316,대구앞산점(올리브카페),대구광역시,남구,대구광역시 남구 현충로 50 1층(대명동)
317,대구용산점,대구광역시,달서구,대구광역시 달서구 용산서로 70 (용산동) 
318,대구월성행복점,대구,달서구,대구 달서구 월성동 120번지 푸르지오상가 2동103호
319,대구유천점(올리브카페),대구광역시,달서구,대구광역시 달서구 조암남로32길 12 (대천동) 1층
320,대구율하본점,대구광역시,동구,대구광역시 동구 율하서로 54 (율하동) 1층 103호
321,대구이천영선점(cafe),대구,남구,대구 남구 이천동 453-71번지
322,대구장기사랑점,대구광역시,달서구,"대구광역시 달서구 한들로 55 (장기동, 장기초록나라 501동 108호"
323,대구중구점,대구,중구,대구 중구 수창동 153 
324,대구중동점,대구,수성구,대구 수성구 중동 412-1
325,대구지묘점,대구광역시,동구,대구광역시 동구 파계로6길 46 (지묘동) 제1층101호
326,대구진천수목원점,대구광역시,달서구,대구광역시 달서구 화암로73길 8-13 진천상가104호
327,대구천내점,대구,달성군,대구 달성군 화원읍 천내리 54-1번지
328,대구칠성점(올리브치킨),대구광역시,북구,대구광역시 북구 칠성로 39 (칠성동2가) 
329,대구침산점(치킨앤비어),대구광역시,북구,"대구광역시 북구 성북로 70 (침산동, 침산화성파크드 상가동 2층 227,228호"
330,대구태전행복점,대구,북구,대구 북구 태전동 961-11번지 1층
331,대구푸른마을점,대구,수성구,대구 수성구 범어동 674-2
332,대구황금점(4),대구,수성구,대구 수성구 황금동 202-3번지
333,대구효목점(올리브치킨),대구광역시,동구,"대구광역시 동구 동부로 187 1층 10호(효목동, 석우하이로즈빌)"
334,대림점(cafe)(2),서울특별시,영등포구,"서울특별시 영등포구 대림로 191 (대림동, 유림빌딩) 1층"
335,대명본점(Cafe),대구,남구,대구 남구 대명동 2138-10
336,대방점(7),서울,영등포구,서울 영등포구 신길동 4027
337,대전가양점,대전,동구,대전 동구 가양동 393-4번지
338,대전가오점,대전광역시,동구,대전광역시 동구 대전로 448 (가오동) 104호
339,대전가장점,대전광역시,서구,"대전광역시 서구 도산로253번길 51 (내동) 내동,블루존상가106,107호"
340,대전갈마점,대전,서구,대전 서구 갈마동 1392 1층
341,대전계룡점,충남,계룡시,충남 계룡시 엄사면 엄사리 174-2
342,대전관저느리울점,대전광역시,서구,대전광역시 서구 구봉로 139 (관저동) 
343,대전관저점,대전광역시,서구,대전광역시 서구 관저북로51번길 8-20 (관저동) 101호
344,대전노은점,대전,유성구,대전 유성구 지족동 893-1 105호
345,"대전도룡점(cafe,명변1)",대전광역시,유성구,"대전광역시 유성구 대덕대로590번길 12-13 1층 103호(도룡동, 가온하이츠빌)"
346,대전둔산사학연금점,대전광역시,서구,대전광역시 서구 한밭대로 809 (둔산동) 1층
347,대전둔산점,대전광역시,서구,대전광역시 서구 둔산남로105번길 18 (둔산동) 102(둔산동)
348,대전목동점,대전,중구,대전 중구 중촌동 411-1
349,대전배재대점,대전,서구,대전 서구 도마2동 109-26번지
350,대전벽산점,대전,중구,대전 중구 유천동 189-11
351,대전복수점(Cafe),대전,서구,대전 서구 복수동 612 초록마을아파트2단지상가 112
352,대전부사점,대전광역시,중구,대전광역시 중구 보문로67번길 14 (부사동) 
353,대전비래점,대전광역시,동구,대전광역시 동구 흥룡로 71번길 91 1층(가양동)
354,대전산성점,대전광역시,중구,대전광역시 중구 대둔산로 407-19 (산성동) 1층
355,대전성남점,대전,동구,대전 동구 성남동 200-195
356,대전송촌점,대전,대덕구,대전 대덕구 송촌동 467-1
357,대전신성점,대전,유성구,대전 유성구 신성동 152-1번지 대림상가131호
358,대전신탄진점,대전,대덕구,대전 대덕구 신탄진동 121-23
359,대전어은점,대전,유성구,대전 유성구 어은동 110-6
360,대전용운점,대전광역시,동구,대전광역시 동구 용운로 127 
361,대전월평점(cafe),대전,서구,대전 서구 월평동 227번지 1층
362,대전유성상대점,대전광역시,유성구,대전광역시 유성구 월드컵대로308번길 13-1 (상대동) 101(상대동)
363,대전유성점,대전,유성구,대전 유성구 봉명동 563-14 1층 7호
364,대전전민점,대전,유성구,대전 유성구 전민동 327-23 
365,대전정림점,대전,서구,대전 서구 정림동  609번지
366,대전중리행운점,대전광역시,대덕구,"대전광역시 대덕구 한밭대로 1141 (중리동, 진성빌딩) "
367,대전탄방행운점(2)(직영),대전광역시,서구,"대전광역시 서구 계룡로571번길 17 (탄방동, 태양빌딩 1층 103호"
368,대전터미널점,대전광역시,동구,"대전광역시 동구 동서대로1695번길 30 (용전동, 대전 1층 CE110호"
369,대청점,서울,강남구,서울 강남구 일원동 687-2
370,대치도곡점,서울,강남구,서울 강남구 대치1동 1023-19 1층
371,대치본점(비비큐레몬),서울특별시,강남구,"서울특별시 강남구 삼성로 151 지상1층 101호(대치동, 선경아파트)"
372,대치은마점(4명변2),서울특별시,강남구,서울특별시 강남구 영동대로57길 16 
373,대치점,서울특별시,강남구,"서울특별시 강남구 선릉로 326(대치동) 1층, 101호"
374,대학로점,서울,종로구,서울 종로구 명륜동2가 22-2 도가빌딩 1층
375,덕명수통골점,대전광역시,유성구,"대전광역시 유성구 수통골로 91-1 (덕명동, 1층) "
376,덕소진도점,경기,남양주시,경기 남양주시 와부읍 덕소리 537-3번지 진도A 상가
377,도량행복점,경상북도,구미시,경상북도 구미시 도봉로 78 102
378,도봉1점(올리브치킨),서울,도봉구,서울 도봉구 도봉동 562-1
379,도안사랑점,대전광역시,서구,대전광역시 서구 용소로12번길 22 (가수원동) 1층
380,독립문점,서울,서대문구,서울 서대문구 영천동 69-130
381,독산시흥본점,서울,금천구,서울 금천구 독산동 1077-37  1층
382,독산행복점,서울특별시,금천구,"서울특별시 금천구 범안로 1193 (독산동, 가남물산제1 1층"
383,돌곶이점,서울,성북구,서울 성북구 장위동 66-323
384,동대문스타점,서울특별시,동대문구,서울특별시 동대문구 한천로 133 (답십리동) 1층
385,동대문점(치킨&비어.명변),서울,중구,서울 중구 을지로6가 23-26 지상1층
386,동대문패션타운점,서울특별시,중구,"서울특별시 중구 마장로1길 28-11 (신당동) 신당동,1층"
387,동두천송내점,경기,동두천시,경기 동두천시 지행동 719-3 현대프라자 1층 107호
388,동림점,광주,북구,광주 북구 동림동 645번지 삼익상가
389,동서울터미널점(올리브카페),서울특별시,광진구,"서울특별시 광진구 강변역로 50 (구의동, 동서울터미 지하1층 15호"
390,동아방송예술대점(특화)(2),경기도,안성시,경기도 안성시 삼죽면 동아예대길 47 1층(동아방송예술대학교)
391,동암역점,인천광역시,부평구,인천광역시 부평구 동암남로 1 (십정동) 2층
392,동탄산업단지점,경기도,화성시,경기도 화성시 동탄면 동탄기흥로 147-13 205호(센터프라자)
393,동탄솔빛나루점,경기도,화성시,경기도 화성시 동탄반석로 99 (반송동) 106호
394,동탄수변점(올리브치킨),경기도,화성시,경기도 화성시 동탄신리천로 278 (오산동) 1층 117호
395,동탄시범단지점,경기도,화성시,"경기도 화성시 동탄반송3길 46-2 (반송동) 101,102호"
396,동탄역점,경기도,화성시,경기도 화성시 동탄대로19길 10 (오산동) 1층 101호
397,동탄푸른숲속점,경기도,화성시,"경기도 화성시 10용사로 349-11 (능동, 위너스프라자) 112"
398,동탄호수공원점(올리브카페),경기도,화성시,"경기도 화성시 동탄대로6길 9 지하2층 B206, 207호(산척동)"
399,동판교백현마을점,경기,성남시,경기 성남시 분당구 백현동 604
400,동판교백현마을점,경기도,성남시,"경기도 성남시 분당구 동판교로 52 (백현동, 제이스타 52번길 5(백현동)"
401,동판교봇들마을점,경기도,성남시,경기도 성남시 분당구 동판교로 212 봇들마을6단지아 봇들마을가상가 101
402,동해북삼점(올리브카페),강원도,동해시,강원도 동해시 효자남길 29-8 (쇄운동) 
403,동해천곡점,강원도,동해시,"강원도 동해시 천곡로 38 (천곡동, 굿모닝플라워) "
404,동호본점(express)(2),대구광역시,동구,대구광역시 동구 동호로 54 (동호동) 1층
405,두산위브제니스점(올리브치킨)(2),대구광역시,수성구,"대구광역시 수성구 달구벌대로 2435 301동 B103-1호(범어동, 두산위브더제니스)"
406,두산점,대구광역시,수성구,대구광역시 수성구 들안로14길 71 (두산동) 
407,두암사랑점(cafe),광주광역시,북구,"광주광역시 북구 삼정로 143 (두암동, 송산아파트) 102"
408,등촌3점,서울특별시,강서구,"서울특별시 강서구 강서로68길 36 (등촌동, 등촌주공1 105"
409,등촌역점,서울특별시,양천구,서울특별시 양천구 목동중앙북로7가길 58 (목동) 1층
410,마곡나루점(올리브치킨)(명변1),서울특별시,강서구,"서울특별시 강서구 마곡중앙로 161-8 (마곡동, 두산더 C동 1층 116호"
411,마곡점(올리브카페)(명변1),서울특별시,강서구,"서울특별시 강서구 마곡동로 61 (마곡동, 에이스프라 1층 102호"
412,마들점,서울특별시,노원구,서울특별시 노원구 동일로 228길 29 106호(상계동)
413,마산구암점,경남,창원시,경남 창원시 마산회원구 구암동 19-35번지
414,마산삼계점,경남,마산시,"경남 마산시 내서읍 삼계리 21 현대아파트상가102,103호"
415,마산석전점,경상남도,창원시,경상남도 창원시 마산회원구 석전남8길 72 
416,마산양덕점,경상남도,창원시,"경상남도 창원시 마산회원구 산호천동길 94 (양덕동,  "
417,마산월영점,경상남도,창원시,경상남도 창원시 마산합포구 월영마을로 29 동아2차아 202
418,마산창동점,경상남도,창원시,경상남도 창원시 마산합포구 동서동3길 39 (신포동1가 
419,마산호계점,경남,마산시,경남 마산시 내서읍 호계리 72-1 지팝프라자106호 107
420,마석행복점,경기,남양주시,경기 남양주시 화도읍 마석우리 588번지 104호
421,마장점,서울특별시,성동구,서울특별시 성동구 마장로 299 (마장동) 
422,마전우선점,인천광역시,서구,인천광역시 서구 완정로 46 (마전동) 1동 5호 6호
423,마천점,서울,송파구,서울 송파구 마천동 183-47 상가 1층 101호
424,마포공덕점(치킨앤비어)(명변1),서울특별시,마포구,"서울특별시 마포구 마포대로 156 (공덕동, 공덕푸르지 "
425,마포도화점,서울,마포구,서울 마포구 도화동 7-20
426,마포용강점,서울,마포구,서울 마포구 대흥동 541-1 1층
427,만리점,서울,마포구,서울 마포구 공덕동 7-249
428,만수점,인천광역시,남동구,"인천광역시 남동구 담방로21번길 55 (만수동, 뉴서울 1층 6호"
429,망원점,서울,마포구,서울 마포구 망원동 475-35 
430,매탄2점(명변),경기,수원시,경기 수원시 영통구 매탄4동 207-18번지
431,매탄점,경기도,수원시,"경기도 수원시 팔달구 권광로 246 (인계동, 래미안 노 상가동 114호"
432,메트로자이점,부산광역시,남구,"부산광역시 남구 신선로 566 (용호동, GS하이츠자이 4 "
433,명동점(치킨앤비어)(사변),서울특별시,중구,"서울특별시 중구 명동8가길 22 (충무로2가, 충무로패 3층"
434,명륜점,서울,종로구,서울 종로구 명륜3가 2~160 53 유림회관부속동1층 20
435,명일점,서울,강동구,서울 강동구 명일동 289-14
436,명지대점,서울특별시,서대문구,서울특별시 서대문구 거북골로 17 (홍은동) 1층
437,모전대박점,경북,문경시,경북 문경시 모전동 873-6
438,목동역점,서울,양천구,서울 양천구 목1동 935 진도아파트상가 101.103호
439,목동한청점,서울,양천구,서울 양천구 목동 199-46 우성 대원프라자 101호
440,목포석현점,전라남도,목포시,"전라남도 목포시 텃골로33번길 53, 제주민복지시설동  (석현동, 석현동 금호어울림)"
441,목포옥암점(올리브카페),전라남도,목포시,전라남도 목포시 남악2로9번길 8 (옥암동) 1층
442,목포하당2호점(cafe),전남,목포시,전남 목포시 옥암동 965번지 금호아파트상가
443,목포하당점(express)(2),전라남도,목포시,"전라남도 목포시 교육로 37 (상동, 목포우성우편취급 "
444,무안남악행운점,전라남도,무안군,전라남도 무안군 삼향읍 남악3로 39 (펠리시티상가) 102동 1층 104호
445,무원점,경기,고양시,경기 고양시 덕양구 행신동 720
446,무주설천점,전라북도,무주군,전라북도 무주군 설천면 삼도봉로 14 
447,묵동행복점,서울특별시,중랑구,서울특별시 중랑구 중랑역로 242 (묵동) 1층2호
448,문경점,경북,문경시,경북 문경시 문경읍 하리 63-2
449,문래점,서울,영등포구,서울 영등포구 문래동6가 8번지   그대가상가 102호
450,문막점,강원,원주시,강원 원주시 문막읍 동화리 1541
451,문산행복점,경기도,파주시,경기도 파주시 문산읍 당동1로 52 
452,문성고아점(express)(2),경상북도,구미시,경상북도 구미시 고아읍 들성로 255 
453,문정점(3)(올리브카페),서울특별시,송파구,서울특별시 송파구 동남로4길 16-1 (문정동) 1층
454,미사강변점(올리브카페),경기도,하남시,"경기도 하남시 미사강변대로 55-1 2308동 상가 101호, 102호(풍산동, 미사강변더샵센트럴포레)"
455,미사점,경기도,하남시,"경기도 하남시 미사강변대로 212 (망월동, 미사센트럴 1층 120호"
456,민락스타점,경기도,의정부시,경기도 의정부시 오목로225번길 89-66 (민락동) 108호
457,밀양내이점,경상남도,밀양시,경상남도 밀양시 백민로 31-2 (내이동) 1층
458,밀양수산점,경남,밀양시,경남 밀양시 하남읍 수산리 814-62번지
459,반포중앙점,서울특별시,서초구,"서울특별시 서초구 신반포로23길 41 (잠원동, 잠원상 121호 122호"
460,발산점,서울특별시,강서구,서울특별시 강서구 강서로47길 46 (내발산동) 1층
461,방배본점(4),서울,서초구,서울 서초구 방배1동 925-24
462,방배이수점,서울특별시,서초구,서울특별시 서초구 도구로 93 (방배동) 
463,방이점,서울,송파구,"서울 송파구 방이동 126-13, 1층 (가락로36길 6, 방이동)"
464,방촌행운점,대구광역시,동구,"대구광역시 동구 화랑로88길 30 (방촌동, 보성강남타 201동 103호"
465,방화역점,서울특별시,강서구,"서울특별시 강서구 금낭화로 287-50 (방화동,오피앙2오피스텔111호~112호)"
466,방화점(2),서울,강서구,서울 강서구 방화동 260-40 번지
467,백석2점,경기도,고양시,경기도 고양시 일산동구 중앙로 1123 흰돌마을2단지아 백상가동 1층 140호
468,백석점,경기,양주시,경기 양주시 백석읍 복지리 130-8
469,백운점(올리브카페+참숯),인천,부평구,"인천 부평구 산곡동 경원대로 1258-1, 1층"
470,범계점,경기,안양시,경기 안양시 동안구 호계동 1047-3 성보빌딩 103호
471,별내점,경기도,남양주시,경기도 남양주시 별내5로5번길 51 (별내동) 1층
472,병점1점,경기,화성시,경기 화성시 병점동 407-4 창명빌딩 107호
473,병점2점,경기도,화성시,경기도 화성시 병점중앙로 195 (진안동) 
474,보광점(2),서울,용산구,서울 용산구 보광동 258-9
475,보라매공원점(cafe),서울특별시,관악구,서울특별시 관악구 보라매로3길 3 (봉천동) 
476,본오상록수점,경기도,안산시,경기도 안산시 상록구 본이로 13 (본오동) 1층
477,봉담행복점(cafe),경기,화성시,경기 화성시 봉담읍 상리 21-3번지
478,봉무이시아점,대구광역시,동구,대구광역시 동구 팔공로 250 (봉무동) 이시아스타
479,봉천우성점,서울,관악구,서울 관악구 봉천동 36-10 
480,봉천중앙점,서울,관악구,서울 관악구 봉천2동 1703  동아A상가 1층  A동 104호
481,봉화점,경북,봉화군,경북 봉화군 봉화읍 내성리 272-4
482,부개일신점,인천광역시,부평구,인천광역시 부평구  동수로 169-1 
483,부개주공점,인천광역시,부평구,인천광역시 부평구  길주남로 157 201
484,부산가야점,부산,부산진구,부산 부산진구 개금동 523-19
485,부산개금점,부산광역시,부산진구,부산광역시 부산진구 개금본동로 77 (개금동) 
486,부산거제점,부산광역시,연제구,부산광역시 연제구 중앙대로 1061 (연산동) 1층
487,부산고리원자력점,부산,기장군,부산 기장군 장안읍 월내리 171
488,부산광안리점,부산,수영구,부산 수영구 광안동 192-16
489,부산괴정점,부산,사하구,부산 사하구 괴정3동 262-1
490,부산구서점,부산광역시,금정구,부산광역시 금정구 구서중앙로 25 
491,부산기장점(4),부산광역시,기장군,부산광역시 기장군 기장읍 차성동로 110 (엔제리너스 1층
492,부산남산점,부산광역시,금정구,부산광역시 금정구 금강로 735-1 (청룡동) 
493,부산남천점(express)(2),부산광역시,수영구,부산광역시 수영구 수영로408번길 24-4 (남천동) 1층
494,부산녹산신호점,부산,강서구,부산 강서구 신호동 220-4 골든프라자 103
495,부산다대1동점,부산,사하구,부산 사하구 다대동 1551-26
496,부산다대2동점(올리브카페),부산광역시,사하구,부산광역시 사하구 다송로72번길 53 1층(다대동)
497,부산당감점,부산광역시,부산진구,부산광역시 부산진구 동평로 98 
498,부산대신점,부산광역시,서구,부산광역시 서구 부용로 15-1 (서대신동1가) 
499,부산대연점,부산광역시,남구,부산광역시 남구 진남로36번길 2 (대연동) (대연동)
500,부산대연혁신점,부산광역시,남구,"부산광역시 남구 수영로 345 (대연동, 대연힐스테이트 115동 107호"
501,부산대학교점(치킨앤비어),부산광역시,금정구,부산광역시 금정구 금정로 92 1층(장전동)
502,부산덕천점,부산광역시,북구,부산광역시 북구 만덕대로78번길 30 (덕천동) 
503,부산동삼국민은행점,부산,영도구,부산 영도구 동삼동 354-1
504,부산마리나점,부산,해운대구,부산 해운대구 우동 993-4 대우마리나2차상가 106
505,부산마린시티점(프리미엄)(2명변),부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 39 (우동, 카이저빌 101호"
506,부산만덕점,부산광역시,북구,부산광역시 북구 만덕3로 34 (만덕동) 
507,부산망미점,부산,수영구,부산 수영구 망미동 444-18 
508,부산명서점,부산,동래구,부산 동래구 명장1동 484-5
509,부산명지점,부산광역시,강서구,"부산광역시 강서구 명지오션시티6로 33 (명지동, 엘크 103호"
510,부산모덕점,부산광역시,사상구,"부산광역시 사상구 백양대로 730 (덕포동, 프로새차만 "
511,부산모라점,부산,사상구,부산 사상구 모라동 1339-19
512,부산문현점,부산,남구,부산 남구 문현동 202-69
513,부산민락점,부산광역시,수영구,"부산광역시 수영구 광안해변로344번길 9-11 (민락동,  1층"
514,부산밀양삼문점,경남,밀양시,경남 밀양시 삼문동 552-1 제일훼미리상가 107호
515,부산반송점,부산광역시,해운대구,"부산광역시 해운대구 신반송로 163 (반송동, 남흥아파 상가8동 101호"
516,부산반여점,부산광역시,해운대구,"부산광역시 해운대구 반여로 112-1 (반여동, 산봉빌딩 "
517,부산봉래청학점,부산,영도구,부산 영도구 청학2동 7-6 번지
518,부산사상점,부산,사상구,부산 사상구 괘법동 516-1 한신아파트상가 2동 107-1
519,부산사직점,부산,동래구,부산 동래구 사직동 99-1
520,부산사하감천점,부산,사하구,부산 사하구 감천동 789 유림2차 106호
521,부산센텀점(5)(올리브치킨),부산광역시,해운대구,"부산광역시 해운대구 센텀동로 123 1층 3호 (재송동, 센텀스타상가)"
522,부산송도점,부산광역시,서구,부산광역시 서구 송도해변로 67 
523,부산송정점,부산,해운대구,부산 해운대구 송정중앙로33번길 12(송정동) 602호
524,부산수영점,부산광역시,수영구,부산광역시 수영구 무학로 30-4 (광안동) 
525,부산신주례점,부산,사상구,부산 사상구 주례동 939-1 주례1차 A상가 106-114
526,부산안락점,부산,동래구,부산 동래구 안락동 472-1 
527,부산엄궁점,부산,사상구,부산 사상구 엄궁동 40-67
528,부산연산로타리점,부산광역시,연제구,부산광역시 연제구 중앙대로 1184 (거제동) (거제동)
529,부산연산점,부산광역시,연제구,부산광역시 연제구 월드컵대로 27 (연산동)
530,부산연산토곡점(올리브카페)(5),부산광역시,연제구,부산광역시 연제구 과정로226번길 8 (연산동) 
531,부산영선점(올리브치킨),부산광역시,영도구,부산광역시 영도구 꿈나무길 255 (신선동3가) 1층
532,부산영주중앙점,부산광역시,중구,부산광역시 중구 중구로 188 (영주동) 
533,부산온천점,부산광역시,동래구,부산광역시 동래구 중앙대로1367번길 25 (온천동) 
534,부산용호점,부산,남구,부산 남구 용호동 393-1 
535,부산장전점(express)(3),부산광역시,금정구,"부산광역시 금정구 금강로 225 1층 204호(장전동, 벽산블루밍디자인시티 2단지)"
536,부산재송역점,부산광역시,해운대구,부산광역시 해운대구 해운대로76번길 16 (재송동) 
537,부산재송점,부산,해운대구,부산 해운대구 반여동 1291-1369 1층
538,부산전포점(express),부산,부산진구,부산 부산진구 전포동 202-25번지
539,부산정관중앙점,부산광역시,기장군,부산광역시 기장군 정관읍 정관5로 12 (동원로얄듀크2 동원로얄듀크상가 227동 125호
540,부산좌동신도시점,부산,해운대구,부산 해운대구 중동 181-1 롯데캐슬마스터2  301-108
541,부산좌동신시가지점,부산광역시,해운대구,부산광역시 해운대구 대천로 104 (좌동) 102호
542,부산좌동점,부산,해운대구,부산 해운대구 좌동 1317번지 경동플러스상가 206호
543,부산중동점(치킨앤비어),부산광역시,중구,"부산광역시 중구 중앙대로 114 (중앙동4가, 크라운 하 2층"
544,부산초량점(올리브치킨),부산광역시,동구,부산광역시 동구 고관로 37 (수정동) 
545,부산초읍점,부산,부산진구,부산 부산진구 연지동 375-14
546,부산통도환타지아점,경남,양산시,경남 양산시 하북면 순지리 812-7
547,부산하단점,부산,사하구,"부산 사하구 하단동 낙동대로 519번길 79, 1층 3호"
548,부산학장점,부산광역시,사상구,"부산광역시 사상구 학감대로123번길 67 (학장동, 학장 301동 지하1층 206호"
549,부산해운대점,부산,해운대구,부산 해운대구 우동 1340 2층
550,부산화명신도시점,부산,북구,부산 북구 화명동 2271-2 새론빌딩 105호
551,부안격포점,전북,부안군,전북 부안군 변산면 격포리 508-35 
552,부영점,경기,남양주시,경기 남양주시 지금동 390-16번지  예전빌딩 1층
553,부천괴안역곡점,경기,부천시,"경기 부천시 소사구 범안로 54, 그린홈프라자 204호"
554,부천미리내점,경기도,부천시,"경기도 부천시 원미구 조마루로291번길 25 (중동, 센 117호"
555,부천상동2점(3),경기도,부천시,경기도 부천시 조마루로97번길 33-13 (상동) 1층
556,부천상동3점,경기,부천시,경기 부천시 원미구 상동 534-9 모건시티 1층
557,부천상동점,경기,부천시,경기 부천시 원미구 상1동 392번지 한아름상가 112호
558,부천소사본점,경기도,부천시,경기도 부천시 소사구 소사로  211-2
559,부천송내점,경기도,부천시,경기도 부천시 소사구 성주로 112 송내동
560,부천시민회관점,경기,부천시,경기 부천시 원미구 중동 792-2번지 1층
561,부천약대점,경기,부천시,경기 부천시 오정구 내동 31-28 효마을타운 101-101
562,부천여월점,경기도,부천시,"경기도 부천시 오정구 성곡로 16번길 7, 다동 1층 1호"
563,부천역곡2점,경기,부천시,경기 부천시 원미구 역곡동 411 동부센트레빌 3단지 제상가동 103
564,부천옥길점(올리브치킨),경기도,부천시,"경기도 부천시 옥길로 117 (옥길동, 제일프라자) 1층 107호"
565,부천원종점,경기,부천시,"경기 부천시 오정구 원종동 230-5 외1필지대창스페이스106,107호"
566,부천원종초등점,경기도,부천시,"경기도 부천시 오정구 삼작로 400 (원종동, 원종시장) 127호(원종동,원종시장)"
567,부천점(올리브팩토리),경기도,부천시,경기도 부천시 부일로 462 (심곡동) 
568,부천중동본점,경기,부천시,경기 부천시 원미구 중동 1100 대원아파트상가동1층 107호
569,부평2점,인천,부평구,인천 부평구 부평2동 756-103
570,부평4점(cafe),인천,부평구,인천 부평구 부평4동 441-36번지 부평빌딩1층
571,부평삼산점,인천,부평구,인천 부평구 삼산동 389-2 로얄프라자 108호
572,부평삼산타운점,인천,부평구,인천 부평구 삼산동 440-1 삼산타운상가 107호
573,북가좌점,서울,서대문구,서울 서대문구 북가좌동 347-1
574,북변감정점,경기도,김포시,경기도 김포시 봉화로167번길 10 (감정동) 
575,분당구미점,경기도,성남시,경기도 성남시 분당구  미금로 48 101
576,분당미금점,경기,성남시,경기 성남시 분당구 구미동 47-3
577,분당본점,경기,성남시,경기 성남시 분당구 분당동 123-1
578,분당서현점,경기,성남시,경기 성남시 분당구 서현동 94 현대아케이트 127
579,분당수내점,경기도,성남시,"경기도 성남시 분당구 수내로 74 (수내동, 양지마을금 108호"
580,분당아름마을점,경기도,성남시,"경기도 성남시 분당구 성남대로779번길 48 (이매동,골든프라자106호)"
581,분당이매촌점,경기도,성남시,"경기도 성남시 분당구 서현로 181 (이매동, 이매촌한 상가1층103호"
582,분당정자점,경기도,성남시,경기도 성남시 분당구 내정로129번길 17 (정자동) 
583,분당정자카페거리점,경기도,성남시,경기도 성남시 분당구 성남대로 381 1층
584,분당중앙점(3)(올리브치킨),경기도,성남시,"경기도 성남시 분당구 불정로 141 1층 104호(정자동, 정든마을 상가)"
585,불광1동점(5),서울,은평구,서울 은평구 불광동 8/5번지
586,비발디점,강원도,홍천군,강원도 홍천군 서면 한서로 2125 
587,빛가람점,전라남도,나주시,전라남도 나주시 그린로 193 (빛가람동) 1층 105호
588,사가정점,서울,중랑구,서울 중랑구 면목3동 454-23
589,사당메트로점,서울특별시,서초구,서울특별시 서초구 방배천로 5-1 (방배동) 2층
590,사당역점(치킨&비어),서울,관악구,서울 관악구 남현동 1061-59
591,사당점,서울특별시,동작구,서울특별시 동작구 동작대로9길 7 (사당동) 1층 (사당동)
592,사북고한점,강원도,정선군,강원도 정선군 고한읍 고한로 89 
593,사천사남점,경상남도,사천시,경상남도 사천시 사남면 진삼로 1126 
594,사천시청점(올리브치킨3),경상남도,사천시,경상남도 사천시 용현면 용현2길 50 (시티빌딩) 
595,사천점(올리브치킨3),경상남도,사천시,경상남도 사천시 사천읍 역사동길 41 
596,산본1호점,경기도,군포시,경기도 군포시  번영로 380-1 
597,산본2점,경기,군포시,경기 군포시 산본동 1118-6번지 1층 103호
598,산본3점,경기,군포시,경기 군포시 산본2동 1078번지 1층
599,삼사해상공원점,경상북도,영덕군,경상북도 영덕군 강구면 동해대로 4332 
600,삼성라이온즈파크점,대구광역시,수성구,대구광역시 수성구 야구전설로1 (연호동) 06호 1층
601,삼성점,서울특별시,강남구,서울특별시 강남구 봉은사로61길 17 (삼성동) 1층(삼성동)
602,삼송스타점(4)(올리브치킨),경기도,고양시,경기도 고양시 덕양구 세솔로 114-1 1층 101호(삼송동)
603,삼척대명리조트점,강원,삼척시,강원 삼척시 갈천동 산 16-4번지 메인로비 1층 
604,삼척점,강원도,삼척시,강원도 삼척시 중앙로 249 (남양동) 
605,삼천포점,경상남도,사천시,경상남도 사천시 벌리9길 7 (벌리동)
606,상도2점,서울,동작구,서울 동작구 상도동 17-62
607,상도점(올리브치킨)(6),서울특별시,동작구,서울특별시 동작구 양녕로 184 (상도동) 1층
608,상모사곡점,경북,구미시,경북 구미시 상모동 신세계타운2단지 901-105
609,상암점,서울,마포구,서울 마포구 상암동 1000~1599 1462번지
610,상일점,서울특별시,강동구,서울특별시 강동구 상일동 276
611,상주2점,경상북도,상주시,경상북도 상주시 삼백로 177 (복룡동)
612,상현점,경기도,용인시,"경기도 용인시 수지구 수지로 70-1 (상현동, 동원한의 "
613,샘터행복점,경기도,고양시,"경기도 고양시 덕양구 중앙로557번길 7-20 (행신동,  1층 103호"
614,생연점,경기도,동두천시,경기도 동두천시 생골로 24 (생연동) 104호
615,서교점(cafe)(2),서울특별시,마포구,서울특별시 마포구 월드컵북로5길 22 (서교동) 1층
616,서귀포신시가지점,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 신서귀로 11 (법환동, 서호 "
617,서산성연점(올리브카페),충청남도,서산시,충청남도 서산시 성연면 성연5로 46 상가동 201호
618,서산음암점,충청남도,서산시,충청남도 서산시 음암면 도당가금말길 55 (1층)
619,서산점,충남,서산시,충남 서산시 대산읍 기은리 592-23
620,서산지곡점,충남,서산시,충남 서산시 지곡면 충의로 762-78 늘푸른오스카빌아 (늘푸른오스카빌아파트상가동216호)
621,서산호수공원점,충청남도,서산시,충청남도 서산시 호수공원11로 35 (읍내동) 
622,서울대글로벌공학관점,서울특별시,관악구,"서울특별시 관악구 관악로 1 서울대학교 39-218(신림동,글로벌공학교육센터)"
623,서울대점,서울,관악구,서울 관악구 봉천7동 1609-5 1층
624,서울대캠퍼스점(cafe직영),서울,관악구,서울 관악구 신림동 산 56-1 번지 서울대공과대학 해동관지하1층
625,서초2점(3),서울,서초구,서울 서초구 서초동 1510-10 화원그랑빌 108
626,서초3점,서울,서초구,서울 서초구 서초동 1334 신동아상가 105호
